feature,family,nat_median,syn_median,cliffs_delta,mw_p
DT_zipa2_j,zipa,0.0005708710814360529,0.002481575822457671,0.2158,0.00877086295654322
R_zipa_ħ,zipa,1.1768554880609017e-10,2.0378138065879625e-10,0.2137,0.009458500758734086
R_zipa_h,zipa,8.113164221867919e-05,3.792077040998265e-05,-0.2034,0.013520802838053838
R_zipa_ɾ,zipa,0.22797361761331558,0.24735692143440247,0.19,0.021054208267156222
R_zipa_ʁ,zipa,0.002611477510072291,0.006101912818849087,0.1874,0.022881941414540436
MF_o_F3,formant,2656.5963134765625,2685.0107421875,0.1834,0.02592971990263891
R_zipa_x,zipa,5.9132662499905564e-05,3.843873128062114e-05,-0.1645,0.04572462581380604
MF_ɔ_F3,formant,2674.0771484375,2714.400390625,0.1527,0.06376353246192693
DT_spec_variance,zipa,1066199.375,1137703.125,0.1502,0.0682221180041177
LTFD_F3sd,formant,401.6598815917969,422.1590576171875,0.1497,0.06913804439796742
DT_zipa2_i,zipa,0.022944968193769455,0.0198525320738554,-0.0903,0.27287588185544454
DT_zipa_i,zipa,0.022806383669376373,0.0198525320738554,-0.0873,0.2890678911207394
DT_spec_kurt,zipa,15.806914806365967,13.09985065460205,-0.0853,0.3003973736319443
MF_ɔ_F2,formant,1464.012939453125,1419.4808349609375,-0.0825,0.31656193915238695
DT_spec_logBR,zipa,-1.0533795356750488,-1.1374167203903198,-0.0643,0.4351878369486456
LTF0_m,formant,170.41455078125,174.0723419189453,0.064,0.43729940059618944
R_zipa_χ,zipa,1.7634331470617326e-06,1.9459482700767694e-06,0.0459,0.5777302083131284
S_zipa_f,zipa,0.0009905637125484645,0.0014870890881866217,-0.0318,0.6996845823007203
R_spec_logBR,zipa,-1.5383753180503845,-1.653397560119629,0.0282,0.7320111259831452
MF_o_F2,formant,1470.7255249023438,1464.95458984375,-0.0143,0.8629039765410109
DT_spec_skew,zipa,2.1980981826782227,2.25675106048584,0.0138,0.8674955885960093
